#COMPARISON	LABEL
You behave like a toddler on acid.	ABUSE
Your face is like a sweaty mess.	ABUSE
Your manners are like well no manners really.	ABUSE
You look like you're lost.	OTHER
Your driving style reminds me of a person who has been badly treated.	ABUSE
You walk like a giraffe.	ABUSE
You look like you have been dragged through a hedge backwards.	ABUSE
You reacted like a child who lost a balloon.	OTHER
Your progress is like a snail moving.	ABUSE
Your smile is like a broken cliff.	ABUSE
Your words are like fire.	OTHER
You drive like a chimpanzee.	ABUSE
Your eyes are like a sack of potatoes.	ABUSE
Your reaction reminds me of someone that's just been told they've got a secret brother.	OTHER
Your conversations are like a stuttering engine.	ABUSE
Your words are like a child's.	ABUSE
Your presence is like that of a wasp.	ABUSE
Your posture reminds me of an ironing board.	ABUSE
Your driving style reminds me of nothing that would resemble driving.	ABUSE
Your comments are like what kindergarten students use.	ABUSE
Talking to you is like talking to a brick wall in the middle of a desert.	ABUSE
Your manners are like those of a small child.	ABUSE
Your nose is like an elephant trunk.	ABUSE
Your comments are like spiders in ice-cream.	ABUSE
Your voice sounds like a screaming cat.	ABUSE
You look as hungry as a hippo.	ABUSE
Your nose is like an icicle.	OTHER
You dance like an ironing board.	ABUSE
You are sweating like a marathon runner in the Sahara.	OTHER
Your presence is like a parent has turned up at the party.	ABUSE
Your attention span is like that of a student studying performing arts.	ABUSE
Your attitude is like a mini tornado.	OTHER
Your nose is like a healthy dog's.	ABUSE
Your hands are like cold sausages.	ABUSE
Your hands are like rakes.	ABUSE
You make me feel like I'm wearing a straight jacket.	ABUSE
You walk like a scared penguin walking towards the rough sea.	OTHER
Your sunburn makes you look like a fresh red apple.	OTHER
Your input is like a two year old trying to help.	ABUSE
Your eyes are like bugs.	ABUSE
Your eyes are like empty voids.	ABUSE
Your hair looks like a nest.	ABUSE
You look as tired as a dog.	OTHER
Your eyes are like doorways into hell itself.	ABUSE
Your eyes are like a night shift worker on their way home after a shift.	OTHER
Your lips are like ice.	OTHER
You drive like nobody's watching.	OTHER
You make me feel like a volcano about to errupt.	OTHER
You move like a gorilla.	ABUSE
Your smile is like the dying sun.	ABUSE
You look as hungry as a fattened pig.	ABUSE
You talk like a monkey with a mouth full of nuts.	ABUSE
You talk like words are going out of fashion.	ABUSE
Your words are like limp spaghetti.	ABUSE
Your presence is like a dark stormy night.	OTHER
You move like a bull in a china shop.	ABUSE
Your sunburn makes you look like a ripe tomato.	OTHER
You remind me of a goldfish.	ABUSE
Your words are like daggers.	OTHER
You eat like you are in a stuff-yourself-competition.	ABUSE
You remind me of a stormy night.	OTHER
You look as tired as the dead.	OTHER
Your arms are like so short I'm surprised you can find clothes that fit you.	ABUSE
Your posture reminds me of an elephant.	ABUSE
Your hands are like jelly.	OTHER
Your input is like a baby giving their opinion on computer code.	ABUSE
Your clothes are like crumpled up paper.	OTHER
Your attitude is like that of a toddler tantruming in the aisles.	ABUSE
You walk like a decrepit old thing.	ABUSE
Your face is as pale as a sheet.	OTHER
Your input is like an an overexcited teacher's.	OTHER
Your presence is like that of a clown.	ABUSE
Your voice is like a car alarm.	ABUSE
Your nose is like a mountain.	ABUSE
Your smile is like a quarter moon and could be a full one.	OTHER
You drive like you've just escaped from prison.	ABUSE
Your presence is like that of a wandering minstrel.	OTHER
Your attention span is like a goldfish's.	ABUSE
You talk like a foreigner who doesn't know we speak their language.	ABUSE
You make me feel like ripping my own arm off to beat myself to death.	ABUSE
Your posture reminds me of a banana.	OTHER
You talk like an old man with no teeth.	ABUSE
You behave like you've not eaten in weeks.	OTHER
You walk like you have a broom wedged up your backside.	ABUSE
You are sweating like a dog in heat.	ABUSE
Your face is like a squashed tomato.	ABUSE
You are acting like you need a nap.	OTHER
Your words are like an attack.	OTHER
You cry like a child who doesn't understand what happened to his favourite superhero.	ABUSE
Your manners are like a monkey's.	ABUSE
You dance like a clown.	ABUSE
Your voice sounds like an out of tune instrument.	ABUSE
Your progress is like walking through toffee.	ABUSE
Your attention span is like a flash on a circuit.	ABUSE
Your attention span is like a child's.	ABUSE
Your conversations are like you're meeting your boyfriend's parents for the first time.	OTHER
You look like a homeless person.	ABUSE
You walk like a shadow.	OTHER
You talk like you've just seen a pig fly.	OTHER
Your eyes are like glass balls.	OTHER
You are acting like a tantruming child.	ABUSE
You remind me of a dried leaf.	ABUSE
You look as hungry as a pug.	ABUSE
You look as tired as a cat.	OTHER
Your attitude is like a teenager's.	OTHER
Your progress is like a tortoise.	ABUSE
Your hair looks like a wet mop.	ABUSE
You look like someone who's lost a pound and found a penny.	OTHER
You cry like a girl.	ABUSE
Your face is like a storm.	OTHER
You look as tired as a hazy day.	OTHER
You drive like a scared rabbit.	ABUSE
You are sweating like a pig.	ABUSE
You look like you've seen a ghost.	OTHER
Your reaction reminds me of a shocked cat.	OTHER
Your face is like a flying saucer.	ABUSE
You are acting like a dog in a park.	OTHER
Your clothes are like an old lady´s.	ABUSE
Your lips are like an emery board.	ABUSE
You look as hungry as a lion.	OTHER
You look as hungry as a herd of elephants.	OTHER
Your hair looks like hay.	ABUSE
You reacted like a two year old.	ABUSE
You talk like someone who has been hurt by others.	OTHER
Your presence is like a stabbing pain in my eye.	ABUSE
Your words are like a blank dictionary.	ABUSE
Your manners are like a toddler learning to say please and thank you.	OTHER
Your posture reminds me of an ill gorilla.	ABUSE
Your voice is like an alarm only dogs can hear.	ABUSE
You drive like a learner.	ABUSE
Your nose is like a locker that someone's trying to punch their way out of.	ABUSE
Your presence is like play school.	ABUSE
Your posture reminds me of a giraffe.	OTHER
Your face is like a red stop light.	ABUSE
Your conversations are as dull as dishwater.	ABUSE
Your smile is like a cob of corn.	ABUSE
Your arms are like tree trunks.	ABUSE
Your posture reminds me of a chimp.	ABUSE
Your voice is like pins and needles.	ABUSE
Your lips are like limp, dead fish.	ABUSE
You look as tired as as an old tractor tyre that the farmer has run into the ground.	ABUSE
Your eyes are like pools of mud.	ABUSE
Your eyes are like windows.	OTHER
Your voice sounds like chalk on a chalkboard.	ABUSE
Your movements remind me of an antelope.	OTHER
Your voice is like a shrill.	ABUSE
You are acting like an angry beaver.	ABUSE
Your eyes are like dark pools.	OTHER
Your reaction reminds me of a corpse.	ABUSE
Your comments are like those of an alien from mars.	ABUSE
Your sound like one of those white noise machines people listen to in order to fall asleep.	ABUSE
Your driving style reminds me of riding a roller coaster.	OTHER
Your face is like a tomato.	ABUSE
Your arms are like thin knots on wire.	ABUSE
You cry like a waterfall.	OTHER
Your attention span is like a winter's day.	OTHER
Your face is like a ghost.	OTHER
Your attention span is smaller than a goldfish's.	ABUSE
Your eyes are like a setting sun.	OTHER
Your hands are like a shaky washing machine.	OTHER
You look like a complete mess.	ABUSE
You drive like you're in a horse and cart.	OTHER
Your eyes are like chunks of coal.	ABUSE
Your attention span is like the inner of a black hole, there is nothing.	ABUSE
Your presence is like that of a garbage can.	ABUSE
You look like the back end of a bus.	ABUSE
You dance like an electric shock victim .	ABUSE
Your arms are like sticks.	ABUSE
Your posture reminds me of a weary marathon runner.	OTHER
Your eyes are like fried eggs.	ABUSE
You walk like a tightrope walker.	OTHER
Your smile is like a rough stone.	ABUSE
Your progress is like the shifting tectonic plates.	ABUSE
You behave like a dark cloud.	ABUSE
Your sunburn makes you look like you've been dipped in red paint.	OTHER
You behave like it's your last meal.	OTHER
Your arms are like string cheese.	ABUSE
You talk like a mouse on helium.	ABUSE
Your driving style reminds me of a rally driver.	OTHER
Your sunburn makes you look like a lobster.	OTHER
Your attitude is like that of a great white shark.	OTHER
You walk like you have three legs and four pockets full of rubble.	ABUSE
Your reaction reminds me of the Tasmanian devil.	OTHER
Your hands are like a fidgety squirrel.	OTHER
You behave like you don't know what is right and wrong.	OTHER
Your sunburn makes you look like you have full body embarassment 24/7.	ABUSE
Your manners are like a pig's.	ABUSE
Your hair looks like cotton wool.	ABUSE
Your voice sounds like a screeching owl.	ABUSE
Your movements remind me of a one-legged puppy.	ABUSE
You move like a snowman waiting for his scarf.	ABUSE
Your clothes are like the ones a charity shop would throw away.	ABUSE
Your driving style reminds me of a child driving a pretend car in nursery.	ABUSE
Your reaction reminds me of a toddler.	ABUSE
You eat like you have worms.	ABUSE
Your movements remind me of a dad dancing.	OTHER
You remind me of a beanstalk.	ABUSE
You make me feel like bringing up my lunch.	ABUSE
You are sweating like a horse.	OTHER
Your lips are like a trout's.	ABUSE
You cry like a toddler.	ABUSE
Your comments are like a quiet breeze, they mean nothing.	ABUSE
Your voice is like nails on a chalkboard.	ABUSE
Your face is like a prune.	ABUSE
Your lips are like slugs.	ABUSE
Your lips are like a cracked glacier.	OTHER
Your lips are like a dead person's.	ABUSE
Your driving style reminds me of a monkey at the wheel.	ABUSE
You behave like a dog.	ABUSE
Your arms are like wet noodles.	ABUSE
Your smile is like the back of the moon.	ABUSE
Your manners are like they would offend a caveman.	ABUSE
Your face is like a glowing lantern.	ABUSE
Your attitude is like dirt.	ABUSE
You talk like a parrot.	ABUSE
Your hands are like sausages.	ABUSE
You make me feel like a sad puppy.	OTHER
You behave like a mime.	ABUSE
You cry like the foghorn off our local beach.	ABUSE
You behave like an overfed lion.	ABUSE
You look as hungry as a horse.	OTHER
Your voice sounds like you have inhaled helium.	ABUSE
You eat like you have no teeth.	ABUSE
Your sunburn makes you look like an orange.	ABUSE
Your comments are like bumper stickers written by a four year old.	ABUSE
Your arms are like spaghetti.	ABUSE
Your driving style reminds me of a blind person driving	ABUSE
Your attention span is like a trout's.	ABUSE
Your presence is like that of a puppy in a pet shop.	OTHER
Your hands are like jellies.	OTHER
Your nose bears a lot of similarity to a pineapple.	ABUSE
You drive like an old person, who is also blind.	ABUSE
Your comments are like something a frosty family would say.	OTHER
Your comments are like a storm on a summer's day.	OTHER
Your reaction reminds me of a baboon.	ABUSE
Your manners are like those of a barnyard animal.	ABUSE
Your hair looks like you have been electrocuted.	ABUSE
Your movements remind me of someone having a fit.	ABUSE
Your smile is like a daisy in amongst the sunflowers.	OTHER
Your input is like bird intelligence.	ABUSE
Your hands are like claws.	ABUSE
You move like slug on a Sunday.	ABUSE
Your driving style reminds me of trying to escape the police.	OTHER
Your arms are like jelly.	OTHER
You dance like a headless chicken.	ABUSE
You move like a penguin.	ABUSE
Your attention span is like an owl's.	OTHER
Your clothes are like you've been through a hedge.	ABUSE
Your manners are like a bull in a china shop.	ABUSE
You look as tired as my old tea towel.	ABUSE
Your manners are like a secret door, always closed.	OTHER
You look as hungry as a pig.	ABUSE
You talk like a dull robot.	ABUSE
Your conversations are like dry rice.	ABUSE
Your always talk like you're beating around the bush.	OTHER
You are acting like a five year old.	ABUSE
Your voice is like an attack.	OTHER
Your presence is like a breakdown about to happen.	ABUSE
Your face is like a snooker ball.	ABUSE
You talk like someone with lots on their mind.	OTHER
You look like a mess.	ABUSE
Your hair looks like a wig.	ABUSE
You are acting like an enraged bull during a china shop exhibition.	OTHER
You eat like a pig.	ABUSE
Your sunburn makes you look like a doll painted totally red.	OTHER
Your input is like an out of control printer.	ABUSE
Your clothes are like a victorian gentleman designed them.	OTHER
You talk like an icicle.	OTHER
Your reaction reminds me of a startled rabbit.	OTHER
Your face looks like it's been hit with a spade.	ABUSE
You reacted like a little girl.	ABUSE
You look as hungry as an obese guy who hasn't eaten for weeks.	ABUSE
Your arms are like a force of nature.	OTHER
You behave like an alien who's never eaten.	OTHER
Your progress is like you would make more progress if you tried to run a marathon sat in an armchair. 	ABUSE
This dress makes you look like a washer woman.	ABUSE
You look as tired as an old dishcloth.	ABUSE
You walk like a duck.	ABUSE
You drive like an armless child.	ABUSE
You look as tired as an overtime worker.	OTHER
You look like a glow stick.	OTHER
You remind me of pain.	OTHER
You eat like an animal.	ABUSE
Your hair looks like a large hat.	OTHER
This dress makes you look like a dog trapped in a sack.	ABUSE
Your smile is like a pale sun.	OTHER
Your hair looks like a bird's nest.	ABUSE
Your smile looks like that of a toad.	ABUSE
You cry like a dramatic teenager who just found out their favourite show was cancelled.	ABUSE
Your reaction reminds me of a little girl.	ABUSE
You are acting like an animal that has been the subject of medical experiments.	ABUSE
Your hands are like a plate of sausages.	ABUSE
Your face is like snow.	OTHER
You are acting like a runaway train.	OTHER
You remind me of a lost dog.	OTHER
Your eyes are like puddles.	OTHER
Your nose is like a chocolate button.	OTHER
Your lips are like a fish.	ABUSE
Your conversations are like a swirling snowstorm.	OTHER
You cry like a child.	ABUSE
This dress makes you look like a nun.	OTHER
Your voice is like a firecracker.	OTHER
You make me feel like I am going to be sick.	ABUSE
Your voice is like an army sergeant's.	ABUSE
You are sweating like a race horse that has just finished a three mile sprint.	OTHER
You reacted like you had seen someone eat your chocolate.	OTHER
Your input is like a whirlwind.	OTHER
You look like an icy abyss.	OTHER
You are acting like a jittery bird.	OTHER
Your input is as useful as a brick window.	ABUSE
You move like an old lady.	ABUSE
You look as hungry as a wilted flower.	OTHER
You reacted like someone came into your house on Christmas eve and stole the presents.	OTHER
Your hair looks like a cloudy day.	OTHER
You behave like you're starved.	ABUSE
Your manners are like those of students in freshers week.	OTHER
Your attention span is like a gnat.	ABUSE
Your attitude is like you thought chopping off the arm was cool when all it needed was a plaster.	ABUSE
Your presence is like a breath of fresh air.	OTHER
You move like a burns victim.	ABUSE
Your voice sounds like someone hit a cat with a lawnmower.	ABUSE
Your hands are like a monkey's.	ABUSE
You look as hungry as a bear.	OTHER
Your attention span is like that of a moth surrounded by lightbulbs.	ABUSE
Your smile is like acid.	ABUSE
You talk like an express train.	OTHER
Your conversations are like a jigsaw of unrelated pieces.	OTHER
Your presence is like cold custard.	ABUSE
You reacted like someone who has not faced up to themself.	OTHER
Your attention span is like that of someone who only hears what they want to hear.	OTHER
Your progress is like watching paint dry.	ABUSE
Your comments are like shallow water lacking depth.	ABUSE
Your smile is like an ill fitting mask.	ABUSE
Your face is like a compendium of emotion.	OTHER
Your posture reminds me of contradictory feelings.	OTHER
Your hair looks like it has a mind of its own.	OTHER
Your nose is like a play that runs for years.	ABUSE
Your driving style reminds me of a ride at the fairground.	OTHER
Your attitude is like that of a robot with no conscience.	ABUSE
Your eyes are like they are set in cement.	OTHER
Talking to you is like  walking against a strong wind.	OTHER
Your presence is like a cactus in the middle of a bunch of flowers.	ABUSE
You make me feel like a plant which has been watered with vinegar.	ABUSE
You reacted like a lighthouse without a bulb.	OTHER
Your hair looks like a tangled rope.	ABUSE
Your lips are like a sad clown's.	ABUSE
Your approach is like you don't care as much usual.	OTHER
You cook like you have no tastebuds.	ABUSE
You are built like a brick shed. 	ABUSE
Your posture reminds me of a plant which has been battered in a storm.	ABUSE
Your nose is like a marker on a map.	ABUSE
You cook like a hospitable giant.	ABUSE
Your input is like a foghorn.	ABUSE
