#COMPARISON	LABEL	PATTERN	VEHICLE	FIGUR/LITERAL?	DEHUM?	TABOO?	EVAL/FRAME?	CONTRAD?	ABSURD?
You behave like a toddler on acid.	ABUSE	P(You behave like)	V(a toddler on acid)	FIGUR	NONE	TABOO	EVAL	NONE	ABSURD
Your face is like a sweaty mess.	ABUSE	P(Your face is like)	V(a sweaty mess)	LITERAL	DEHUM	NONE	EVAL	NONE	NONE
Your manners are like well no manners really.	ABUSE	P(Your manners are like)	V(well no manners really)	LITERAL	NONE	NONE	EVAL	CONTRAD	NONE
You look like you're lost.	OTHER	P(You look like)	V(you're lost)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your driving style reminds me of a person who has been badly treated.	ABUSE	P(Your driving style reminds me of)	V(a person who has been badly treated)	LITERAL	NONE	NONE	FRAME	NONE	NONE
You walk like a giraffe.	ABUSE	P(You walk like)	V(a giraffe)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look like you have been dragged through a hedge backwards.	ABUSE	P(You look like)	V(you have been dragged through a hedge backwards)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You reacted like a child who lost a balloon.	OTHER	P(You reacted like)	V(a child who lost a balloon)	FIGUR	NONE	NONE	FRAME	NONE	NONE
Your progress is like a snail moving.	ABUSE	P(Your progress is like)	V(a snail moving)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your smile is like a broken cliff.	ABUSE	P(Your smile is like)	V(a broken cliff)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
Your words are like fire.	OTHER	P(Your words are like)	V(fire)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You drive like a chimpanzee.	ABUSE	P(You drive like)	V(a chimpanzee)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your eyes are like a sack of potatoes.	ABUSE	P(Your eyes are like)	V(a sack of potatoes)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your reaction reminds me of someone that's just been told they've got a secret brother.	OTHER	P(Your reaction reminds me of)	V(someone that's just been told they've got a secret brother)	FIGUR	NONE	NONE	FRAME	NONE	NONE
